id_ejercicio,nombre,grupo_muscular,equipamiento,descripcion,imagen
1,Paralela Flexión,Pecho,Barras paralelas,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",2363-O2K9Vb5.jpg
2,Barra Press de banca,Pecho,Barra,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0025-EIeI8Vf.jpg
3,Barra Press de banca inclinado,Pecho,Barra,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0047-3TZduzM.jpg
4,Barra Press de banca declinado,Pecho,Barra,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0033-GrO65fd.jpg
5,Peso corporal Flexión,Pecho,Peso corporal,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0662-I4hDWkc.jpg
6,Barra Floor Press,Pecho,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0065-vtusOWT.jpg
7,Doble Mancuerna Press de banca,Pecho,Mancuerna,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0289-SpYC0Kp.jpg
8,Doble Mancuerna Press de banca inclinado,Pecho,Mancuerna,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0314-ns0SIbU.jpg
9,Doble Mancuerna Press de banca declinado,Pecho,Mancuerna,"Túmbate en el banco, baja el peso de forma controlada hasta el pecho y empuja con fuerza hasta extender los brazos.",0301-DwhEmmE.jpg
10,Polea Straight Bar Pullover,Espalda,Polea,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0238-x69MAlq.jpg
11,Doble Mancuerna Banco inclinado Prono Remo,Espalda,Mancuerna,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",0327-7vG5o25.jpg
12,Barra Pendlay Remo,Espalda,Barra,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",3017-r0z6xzQ.jpg
13,Barra Bent Over Remo,Espalda,Barra,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",0027-eZyBC3j.jpg
14,Doble Mancuerna Prono Remo,Espalda,Mancuerna,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",0293-BJ0Hz5L.jpg
15,Barra Conventional Peso muerto,Espalda,Barra,"Manteniendo la espalda neutra, flexiona la cadera para bajar el peso a lo largo de las piernas. Vuelve a extender la cadera para subir y aprieta glúteos.",0032-ila4NZS.jpg
16,Barra Sumo Peso muerto,Espalda,Barra,"Manteniendo la espalda neutra, flexiona la cadera para bajar el peso a lo largo de las piernas. Vuelve a extender la cadera para subir y aprieta glúteos.",0117-KgI0tqW.jpg
17,Barra Good Morning,Espalda,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0044-XlZ4lAC.jpg
18,Barra Inversa Grip Bent Over Remo,Espalda,Barra,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",0118-SzX3uzM.jpg
19,Doble Mancuerna Sentado Good Morning,Espalda,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0090-d960PgE.jpg
20,Doble Mancuerna Renegade Remo ,Espalda,Mancuerna,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",0521-b9kqlBy.jpg
21,Bar Dominada,Espalda,Barra de dominadas,Cuélgate con los brazos extendidos. Tira de tu cuerpo hacia arriba hasta pasar la barbilla por encima de la barra y baja de forma controlada.,0652-lBDjFxJ.jpg
22,Bar Scapular Dominada,Espalda,Barra de dominadas,Cuélgate con los brazos extendidos. Tira de tu cuerpo hacia arriba hasta pasar la barbilla por encima de la barra y baja de forma controlada.,0688-uTBt1HV.jpg
23,Polea V Grip Sentado Bajo Remo,Espalda,Polea,"Con el torso inclinado o apoyado, tira del peso hacia tu abdomen contrayendo la espalda y controlando la bajada al estirar los brazos.",0861-fUBheHs.jpg
24,Polea Agarre ancho Lat Pulldown,Espalda,Polea,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",2330-LEprlgG.jpg
25,Polea Inversa Grip Lat Pulldown,Espalda,Polea,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0245-xBYcQHj.jpg
26,Mancuerna Pullover,Espalda,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0375-9XjtHvS.jpg
27,Polea Face Pull,Hombros,Polea,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0203-wqNPGCg.jpg
28,Polea Sentado Face Pull,Hombros,Polea,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",0203-wqNPGCg.jpg
29,Barra Por encima de la cabeza Press,Hombros,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",1456-wdRZISl.jpg
30,Barra Push Press,Hombros,Barra,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",1700-FS63wTN.jpg
31,Barra Elevación frontal,Hombros,Barra,Eleva el peso hacia adelante con los brazos casi rectos hasta la altura de los ojos y baja de forma controlada.,0041-b2Uoz54.jpg
32,Doble Mancuerna Push Press,Hombros,Mancuerna,"Agarra el equipamiento de forma segura. Realiza el movimiento en todo su rango de recorrido de forma controlada, manteniendo el core firme y sin dar tirones.",1700-FS63wTN.jpg
